Horas_Estudio,Asistencia_Porcentaje,Calificacion_Final
4,88,53.34200148227628
8,51,53.81971287372066
5,52,40.58151326202938
7,98,64.65961884579478
3,86,52.78111005950688
7,98,65.86045514379894
8,66,60.96919638297042
5,98,59.84228123239061
4,51,32.66278366386404
8,51,52.91954277755355
8,77,63.95595213918651
3,72,38.1484276913966
6,86,58.86117531783658
5,81,52.574626155337995
2,82,37.37108910650814
8,50,53.07336208104485
6,68,52.88235357910471
2,51,31.649153729525832
5,93,60.361406156104714
1,75,29.866991896128727
6,81,53.58652488025463
9,55,59.54510580162598
1,81,37.94135785273662
3,53,34.745143058918146
7,60,63.558194471964164
4,66,44.11267153207951
9,87,74.2066969205418
3,73,44.06200529047961
5,54,43.5541737539174
3,83,44.25419226607897
7,55,52.276907661479804
5,71,46.08152435638729
9,60,59.28954417977997
7,97,65.3439093565127
2,65,34.245622418158966
4,82,55.74397570002053
9,58,53.59820442222476
2,55,32.05878057112354
9,65,57.16185238643104
5,78,49.7842044026317
2,52,32.0668517909021
4,69,43.79284005728639
7,85,58.76676566621208
8,68,57.0540888722201
3,75,44.038793246804026
1,52,22.60890010484859
4,68,43.84937576874593
2,69,35.736715519711446
8,81,62.445198957182555
4,56,44.83183226797598
2,90,45.90175706695403
6,82,50.724572240027186
6,89,60.159362944308285
4,88,49.21464060569484
6,67,53.35730000438867
2,89,41.222437784701896
2,50,27.655790675599302
4,60,41.514961836941374
8,77,65.39726558251036
7,74,53.99911077883267
9,99,74.59649629247716
8,72,59.37516406651713
5,80,50.04001230227887
2,79,44.89636272084329
5,91,57.614945132882866
8,84,61.81734813699486
9,56,61.153585841164336
9,65,68.3664685910379
1,75,37.09739578165344
9,97,70.24189010213797
7,98,65.74729778140124
9,51,60.20073344755988
8,50,49.87699160314366
1,97,44.131458284438686
8,61,58.72390216028801
8,54,50.819208585265756
3,86,46.2214239318146
1,81,26.676197979792782
8,58,52.12683707599713
3,90,47.24229554582052
3,84,41.856650454105456
1,68,36.09723391179491
5,97,54.509575866118105
7,65,52.67986653990905
9,52,57.19222173185827
7,69,59.92381986719835
9,73,60.89241354646168
8,82,68.28949125646488
2,73,37.23069918305876
1,60,25.055474046856148
7,98,68.58631042278982
7,57,51.397179086720406
8,85,64.19934936852361
5,87,55.00940625497006
3,89,46.44405920941472
8,69,59.94055203575375
6,84,59.58639202356314
3,97,55.55805044843606
1,74,29.886553503519455
3,84,51.9991001239688
5,74,43.743736601432495
3,78,42.744644714893255
1,67,32.56495161945373
5,95,58.8429756032051
7,67,52.93190144053822
7,51,47.77563324892818
9,84,68.1209971960235
3,65,36.231905729167366
7,90,66.54880629106307
1,85,39.07104645789514
4,82,46.72127121421804
4,53,39.898799626299756
5,82,53.72189856262983
7,63,55.63858635651688
7,70,57.888886525770836
4,97,52.313014967233784
7,69,53.91945687940909
3,57,37.04188081536978
6,56,48.2311107963004
2,52,28.737295218107555
9,66,62.75198214992635
5,82,56.632994687365276
6,97,61.02528583349252
4,61,42.04129214351012
7,71,55.793422042698325
9,71,63.746956390318346
7,95,69.29633055596157
1,79,38.076249046964094
1,87,41.24052890800192
9,87,74.716436421463
9,94,73.66301152489827
4,57,40.84585891388489
9,76,65.46919973021964
3,76,43.37249905746533
7,83,60.80957083689695
6,70,52.29098789497815
8,79,65.38547107631074
9,82,66.3453379502996
5,77,57.07716182705638
1,96,39.3819478555009
3,82,41.15743416163681
8,54,57.07433262050021
6,97,65.17498808188881
8,68,61.072359451156466
9,53,59.085036527792845
4,84,49.56325968145926
1,98,40.50823688554251
1,66,30.62741367458118
4,93,51.16851486546367
